Title,Price,Image URL,Specifications
"Laptop HP OmniBook 3 16-by0028nwx 16"" R5 40 8GB RAM 256GB Dysk SSD Win11 Czarny",1 999.00 zł,"https://f00.esfr.pl/foto/4/192315626929/e8ea62a98903f1f989ccaeb45c2c1582/hp-laptop-hp-ob-3-16-r5-8-256-w11,192315626929_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli', 'Procesor': 'AMD Ryzen™ 5 40', 'Pamięć': '8 GB  LPDDR5 5500 Mhz RAM', 'Grafika': 'AMD  Radeon™ 610M Graphics', 'Dysk': '256 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy Lenovo LOQ 15IAX9 15,6"" 144Hz i5-12600HX 16GB RAM 512GB Dysk SSD RTX4050 Win11 Szary Funkcje AI",3 499.00 zł,"https://f00.esfr.pl/foto/7/177142838209/75780b1d7e014cde46599421580a5aeb/lenovo-laptop-lenovo-loq-i5-16gb-512gb-4050-w11,177142838209_7.webp","{'Ekran': '15,6 "",  1920 x 1080 pikseli 144 Hz', 'Procesor': 'Intel® Core™ i5 12gen 12600HX', 'Pamięć': '16 GB  DDR5 4800 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy Dell Alienware 16 Aurora AC16250 16"" 120Hz Core 5 210H 16GB RAM 512GB Dysk SSD RTX3050 DLSS Win11 Granatowy Funkcje AI",3 299.00 zł,"https://f00.esfr.pl/foto/2/188164628089/f7bd6dea40ca0c7853551e51a35eeca4/dell-laptop-aw-16-aurora-c5-16-512gb-3050-w11,188164628089_7.webp","{'Ekran': '16 "",  2560 x 1600 pikseli 120 Hz', 'Procesor': 'Intel® Core™ 5 15gen 210H', 'Pamięć': '16 GB  DDR5 5600 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 3050 + Intel Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy ASUS TUF Gaming F16 FX607VJB-RL143W 16"" 144Hz Core 5 210H 16GB RAM 512GB Dysk SSD RTX3050 DLSS3 Win11 Szary Funkcje AI",3 299.00 zł,"https://f00.esfr.pl/foto/4/191218243201/6365f82fa87ee1812601ae04acc8aee2/asus-laptop-asus-f16-c5-16-512-3050-w11,191218243201_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli 144 Hz', 'Procesor': 'Intel® Core™ 5 210H', 'Pamięć': '16 GB  DDR5 5600 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 3050 + Intel Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop Lenovo IdeaPad Slim 3 16ARP10 16"" R5 7535HS 24GB RAM 512GB Dysk SSD Win11 Szary",2 699.00 zł,"https://f00.esfr.pl/foto/4/187619326041/eed87c8be9d3e343ad1dc44b2a94f0e3/lenovo-laptop-ips3-r5-24gb-512gb-w11,187619326041_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli 60 Hz', 'Procesor': 'AMD Ryzen™ 5 7535HS', 'Pamięć': '24 GB  DDR5 4800 Mhz RAM', 'Grafika': 'AMD  Radeon™ 660M Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy HyperX OMEN 15-gb0075nwx 15,3"" 180Hz R5 240 16GB RAM 512GB Dysk SSD RTX5050 DLSS4 Win11 Czarny",4 222.00 zł,"https://f00.esfr.pl/foto/6/192315611769/2024427b7f85e98fe22af27c007d8ee7/hyperx-laptop-hp-hx-om-15-r5-16-512-5050-w11,192315611769_7.webp","{'Ekran': '15,3"",  2560 x 1600 pikseli 180 Hz', 'Procesor': 'AMD Ryzen™ 5 240', 'Pamięć': '16 GB  DDR5 5600 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 5050 + AMD Radeon™ 760M', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Apple MacBook Neo 2026 13"" A18 Pro 8GB RAM 256GB Dysk SSD macOS Indygo Funkcje AI",3 199.00 zł,"https://f00.esfr.pl/foto/2/187541173937/5a92ba618495462bf0234440552a6f77/apple-laptop-mbn-13-a18p-6-5-8-256gb-indigo,187541173937_7.webp","{'Ekran': '13 "",  2408 x 1506 pikseli 60 Hz', 'Procesor': 'Apple A18 Pro', 'Pamięć': '8 GB  zunifikowana RAM', 'Grafika': 'Apple  A18 Pro (5-rdzeni)', 'Dysk': '256 GB SSD', 'System operacyjny': 'macOS'}"
"Laptop 2w1 HP OmniBook X Flip 14-kc0011nwx OLED 14"" Ryzen AI 7 445 24GB RAM 512GB Dysk SSD Win11 Brązowy Funkcje AI",4 999.00 zł,"https://f00.esfr.pl/foto/6/192315608809/fcf2939431db6885127699fa7e1c242d/hp-laptop-hp-ob-x-f-14-rai7-24-512-w11,192315608809_7.webp","{'Ekran': '14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz', 'Procesor': 'AMD Ryzen™ AI 7 445', 'Pamięć': '24 GB  LPDDR5x 8533 Mhz RAM', 'Grafika': 'AMD  Radeon™ 840M', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop Acer Aspire Go 16 AG16-71P 16"" Core 5 120U 32GB RAM 1TB Dysk SSD Win11 Srebrny Funkcje AI",3 099.00 zł,"https://f00.esfr.pl/foto/9/185282961033/64af4a05a1288209fbece98f77015725/acer-laptop-acer-ag16-c5-32gb-1tb-w11,185282961033_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli 60 Hz', 'Procesor': 'Intel® Core™ 5 14gen 120U', 'Pamięć': '32 GB  DDR5 RAM', 'Grafika': 'Intel®  Graphics', 'Dysk': '1 TB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop HP 15-fc0217nw 15,6"" AMD Ryzen 7 5825U 16GB RAM 512GB Dysk SSD Win11 Srebrny",2 499.00 zł,"https://f00.esfr.pl/foto/2/192783383449/7214cc32253a6c103287985a5e44c6e/hp-laptop-hp-15-r7-16-512-w11,192783383449_7.webp","{'Ekran': '15,6 "",  1920 x 1080 pikseli', 'Procesor': 'AMD Ryzen™ 7 5825U', 'Pamięć': '16 GB  DDR4 3200 MHz RAM', 'Grafika': 'AMD  Radeon™ Graphics', 'Dysk': '512 GB', 'System operacyjny': 'Windows 11 Home Edition'}"
