Title,Price,screen,screen_size,resolution_width,resolution_height,resolution_pixels,refresh_rate,ram,ram_gb,storage,storage_gb,processor,cpu_clean,cpu_brand,cpu_family,cpu_generation,graphics,gpu_clean,gpu_brand,gpu_model,nvidia_gpu,is_gaming,has_dedicated_gpu,has_nvidia_gpu,has_amd_gpu,has_intel_gpu,os
"Laptop HP OmniBook 3 16-by0028nwx 16"" R5 40 8GB RAM 256GB Dysk SSD Win11 Czarny",1999.0,"16 "",  1920 x 1200 pikseli",16.0,1920,1200,2304000,,8 GB  LPDDR5 5500 Mhz RAM,8,256 GB SSD,256,AMD Ryzen™ 5 40,AMD Ryzen 5 40,AMD,Ryzen 5,,AMD  Radeon™ 610M Graphics,AMD Radeon 610M Graphics,AMD,Radeon 610M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop gamingowy Lenovo LOQ 15IAX9 15,6"" 144Hz i5-12600HX 16GB RAM 512GB Dysk SSD RTX4050 Win11 Szary Funkcje AI",3499.0,"15,6 "",  1920 x 1080 pikseli 144 Hz",15.6,1920,1080,2073600,144,16 GB  DDR5 4800 Mhz RAM,16,512 GB SSD,512,Intel® Core™ i5 12gen 12600HX,Intel Core i5 12gen 12600HX,Intel,Core i5,12,NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics,NVIDIA GeForce RTX 4050 + Intel UHD Graphics,NVIDIA,GeForce RTX 4050,GeForce RTX 4050,True,True,True,False,True,Windows 11 Home Edition
"Laptop gamingowy Dell Alienware 16 Aurora AC16250 16"" 120Hz Core 5 210H 16GB RAM 512GB Dysk SSD RTX3050 DLSS Win11 Granatowy Funkcje AI",3299.0,"16 "",  2560 x 1600 pikseli 120 Hz",16.0,2560,1600,4096000,120,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,Intel® Core™ 5 15gen 210H,Intel Core 5 15gen 210H,Intel,Core 5,15,NVIDIA® GeForce RTX™ 3050 + Intel Graphics,NVIDIA GeForce RTX 3050 + Intel Graphics,NVIDIA,GeForce RTX 3050,GeForce RTX 3050,True,True,True,False,True,Windows 11 Home Edition
"Laptop gamingowy ASUS TUF Gaming F16 FX607VJB-RL143W 16"" 144Hz Core 5 210H 16GB RAM 512GB Dysk SSD RTX3050 DLSS3 Win11 Szary Funkcje AI",3299.0,"16 "",  1920 x 1200 pikseli 144 Hz",16.0,1920,1200,2304000,144,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,Intel® Core™ 5 210H,Intel Core 5 210H,Intel,Core 5,,NVIDIA® GeForce RTX™ 3050 + Intel Graphics,NVIDIA GeForce RTX 3050 + Intel Graphics,NVIDIA,GeForce RTX 3050,GeForce RTX 3050,True,True,True,False,True,Windows 11 Home Edition
"Laptop Lenovo IdeaPad Slim 3 16ARP10 16"" R5 7535HS 24GB RAM 512GB Dysk SSD Win11 Szary",2699.0,"16 "",  1920 x 1200 pikseli 60 Hz",16.0,1920,1200,2304000,60,24 GB  DDR5 4800 Mhz RAM,24,512 GB SSD,512,AMD Ryzen™ 5 7535HS,AMD Ryzen 5 7535HS,AMD,Ryzen 5,,AMD  Radeon™ 660M Graphics,AMD Radeon 660M Graphics,AMD,Radeon 660M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop gamingowy HyperX OMEN 15-gb0075nwx 15,3"" 180Hz R5 240 16GB RAM 512GB Dysk SSD RTX5050 DLSS4 Win11 Czarny",4222.0,"15,3"",  2560 x 1600 pikseli 180 Hz",15.3,2560,1600,4096000,180,16 GB  DDR5 5600 Mhz RAM,16,512 GB SSD,512,AMD Ryzen™ 5 240,AMD Ryzen 5 240,AMD,Ryzen 5,,NVIDIA® GeForce RTX™ 5050 + AMD Radeon™ 760M,NVIDIA GeForce RTX 5050 + AMD Radeon 760M,NVIDIA,GeForce RTX 5050,GeForce RTX 5050,True,True,True,True,False,Windows 11 Home Edition
"Apple MacBook Neo 2026 13"" A18 Pro 8GB RAM 256GB Dysk SSD macOS Indygo Funkcje AI",3199.0,"13 "",  2408 x 1506 pikseli 60 Hz",13.0,2408,1506,3626448,60,8 GB  zunifikowana RAM,8,256 GB SSD,256,Apple A18 Pro,Apple A18 Pro,Apple,A18 Pro,,Apple  A18 Pro (5-rdzeni),Apple A18 Pro (5-rdzeni),Apple,A18 Pro,,False,False,False,False,False,macOS
"Laptop 2w1 HP OmniBook X Flip 14-kc0011nwx OLED 14"" Ryzen AI 7 445 24GB RAM 512GB Dysk SSD Win11 Brązowy Funkcje AI",4999.0,"14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz",14.0,1920,1200,2304000,60,24 GB  LPDDR5x 8533 Mhz RAM,24,512 GB SSD,512,AMD Ryzen™ AI 7 445,AMD Ryzen AI 7 445,AMD,Ryzen AI 7,,AMD  Radeon™ 840M,AMD Radeon 840M,AMD,Radeon 840M,,False,False,False,True,False,Windows 11 Home Edition
"Laptop Acer Aspire Go 16 AG16-71P 16"" Core 5 120U 32GB RAM 1TB Dysk SSD Win11 Srebrny Funkcje AI",3099.0,"16 "",  1920 x 1200 pikseli 60 Hz",16.0,1920,1200,2304000,60,32 GB  DDR5 RAM,32,1 TB SSD,1024,Intel® Core™ 5 14gen 120U,Intel Core 5 14gen 120U,Intel,Core 5,14,Intel®  Graphics,Intel Graphics,Intel,,,False,False,False,False,True,Windows 11 Home Edition
"Laptop HP 15-fc0217nw 15,6"" AMD Ryzen 7 5825U 16GB RAM 512GB Dysk SSD Win11 Srebrny",2499.0,"15,6 "",  1920 x 1080 pikseli",15.6,1920,1080,2073600,,16 GB  DDR4 3200 MHz RAM,16,512 GB,512,AMD Ryzen™ 7 5825U,AMD Ryzen 7 5825U,AMD,Ryzen 7,,AMD  Radeon™ Graphics,AMD Radeon Graphics,AMD,Radeon,,False,False,False,True,False,Windows 11 Home Edition
